,Datetime,Dettransactions-per-second,Detn-unique-addresses,Detn-transactions,Detdifficulty
0,2009-01-01,3.1062909465897612,314677.496205566,160711.44441879852,6173813395792.114
1,2009-01-02,3.0308002000301784,320460.3939494785,159982.3927110022,5988676263095.938
2,2009-01-03,3.070422337093628,2.0,158706.45041427526,1.0
3,2009-01-04,3.0906129925369394,333269.2349965404,165819.09920734353,6422911652729.221
4,2009-01-05,3.1085320109336894,331482.3252591146,151871.26266726555,5783264481921.198
5,2009-01-06,3.078779227124414,296483.269997219,160613.5145318437,0.0
6,2009-01-07,3.090505766804748,326990.62418643176,160930.43269403075,6500800298310.336
7,2009-01-08,3.102750668640907,323755.49924005906,165040.2655816726,6483867439468.717
8,2009-01-09,3.0620726446949766,302321.4733998244,146166.25307194339,1.0
9,2009-01-10,3.0420763536943816,307422.0595917504,158591.55058130383,5994439870762.007
10,2009-01-11,3.078025464224631,93.0,153994.98487344067,5253738323485.895
11,2009-01-12,3.136399827380938,348660.3913627311,173469.06291073235,1.0
12,2009-01-13,3.1046420626964992,331437.6610479739,159679.09786332128,6465694751095.059
13,2009-01-14,3.1098641875556003,130.0,144871.12959642409,4889431345101.933
14,2009-01-15,3.0837131652702308,302954.63056950143,161596.81316123196,1.0
15,2009-01-16,3.0818601710781133,302872.33021854743,150755.85995608833,5307157227604.762
16,2009-01-17,3.0274872559284125,109.0,109.0,5571716023657.611
17,2009-01-18,3.085983727711496,304182.96895586234,164129.4373042385,1.0
18,2009-01-19,3.1161897193107553,314477.11455349484,163895.23594366235,6506462203671.979
19,2009-01-20,3.027431074892856,115.0,115.0,4978214262623.039
20,2009-01-21,3.1125341271956373,337763.9522413006,169862.59626208874,1.0
21,2009-01-22,3.1360325902470336,323190.66275624296,164179.38874295432,6441202314124.816
22,2009-01-23,3.027491213748667,86.0,86.0,5579138823249.682
23,2009-01-24,3.1249690475544334,326373.08900334674,165080.24361616734,1.0
24,2009-01-25,3.0385932320442204,281683.7425165999,147759.13857352507,5239995063166.384
25,2009-01-26,3.03671341676102,97.0,97.0,5079775829122.742
26,2009-01-27,3.0403515701478523,311635.52860773704,154499.60227427384,1.0
27,2009-01-28,3.1121420418241224,309878.6554798717,162068.71839488574,6379778172499.471
28,2009-01-29,3.0275522980694656,122.0,122.0,5510599196527.777
29,2009-01-30,3.028282905421498,311631.4635111983,157120.4070201625,1.0
30,2009-01-31,3.134940273708664,340111.7564156813,169534.38446226422,6753009602861.84
31,2009-02-01,3.0274308457394308,114.0,114.0,5540701228796.434
32,2009-02-02,3.087728883417487,287722.9150141282,156509.97678525507,1.0
33,2009-02-03,3.1035599377569767,327362.3312852526,161712.48128111713,6103337138921.503
34,2009-02-04,3.0274319993516356,119.0,119.0,5643856346155.383
35,2009-02-05,3.063415858017007,289528.6705953981,155723.35176524564,1.0
36,2009-02-06,3.0877913681838387,331043.88876514474,147281.7187697732,5007397636869.052
37,2009-02-07,3.02743892485372,134.0,133.0,5198017150046.803
38,2009-02-08,3.0741716409144138,304245.0125043571,160502.9509748141,1.0
39,2009-02-09,3.0642066392321423,291098.83098952053,157126.32728286937,6080647108661.525
40,2009-02-10,3.0384591754003565,120.0,120.0,5204372252652.328
41,2009-02-11,3.039552326374413,293643.9697452558,148795.57280243142,1.0
42,2009-02-12,3.0859045543533514,288915.4252558097,160157.2742413408,6438633870188.695
43,2009-02-13,3.039478293710479,302425.23203393666,124.0,5812975304682.491
44,2009-02-14,3.0761301286279417,136.0,148724.40831162265,1.0
45,2009-02-15,3.0291937865487824,285077.12706023204,147129.3928295611,5119897345385.807
46,2009-02-16,3.0644685565908336,288524.98794108344,123.0,6019699470475.507
47,2009-02-17,3.039165667914932,117.0,154803.1571385049,1.0
48,2009-02-18,3.1137810538790904,347905.76251672104,159812.03345381326,6454702932278.969
49,2009-02-19,3.0840018806713005,293994.99317191454,125.0,6543100957699.486
50,2009-02-20,3.0402176054970353,122.0,156678.10450403608,1.0
51,2009-02-21,3.0934497750620897,316482.13506492117,158579.4562474295,5923782337574.232
52,2009-02-22,3.0940688161618417,335778.1239419242,125.0,6388741250517.021
53,2009-02-23,3.0675938590214464,108.0,154078.0024632802,1.0
54,2009-02-24,3.0885833799720186,314713.51994119765,171820.51335754464,7268321055040.529
55,2009-02-25,3.070950486302253,308396.7795898171,105.0,6587957591879.975
56,2009-02-26,3.0716848657330673,107.0,147089.8758035518,1.0
57,2009-02-27,3.072583984870581,304986.03460028034,162244.33826688497,6419138930377.805
58,2009-02-28,3.0288050587983824,312197.88399775873,100.0,5772964102446.407
59,2009-03-01,3.027436083666068,105.0,150118.26778243162,1.0
60,2009-03-02,3.079111467036558,319041.9281239801,164754.33105722425,6492260014613.516
61,2009-03-03,3.079957735298847,303341.61161094496,107.0,6768907927151.869
62,2009-03-04,3.067570391328689,106.0,157906.7292876945,1.0
63,2009-03-05,3.064452103709823,297165.4203739447,159039.25442818436,6209160277998.168
64,2009-03-06,3.031037483439562,304433.0295200025,117.0,5677780500223.649
65,2009-03-07,3.061814340930308,109.0,149823.1536617392,1.0
66,2009-03-08,3.0592544184697132,327785.1967049934,158804.2420102298,5757971696231.52
67,2009-03-09,3.0695121549205804,296631.8654976586,108.0,6349693119568.0205
68,2009-03-10,3.037190264818882,107.0,147692.5971069793,1.0
69,2009-03-11,3.0991678497196915,297312.1690059636,163377.46066628725,6663215836637.545
70,2009-03-12,3.074717452476805,291777.8282543909,119.0,6340990708561.877
71,2009-03-13,3.072782111054869,325629.0900580914,153009.44175560327,1.0
72,2009-03-14,3.065349833939213,110.0,152765.14208695554,5683349165954.432
73,2009-03-15,3.032769148332281,285890.1350125751,123.0,5223738160783.922
74,2009-03-16,3.0758114350186188,329850.5123805763,154023.26764613288,1.0
75,2009-03-17,3.0323571858987854,114.0,147991.59500526587,5132770532887.721
76,2009-03-18,3.0832073767364516,306384.22904801683,116.0,6924257170586.023
77,2009-03-19,3.0423856581145703,325208.8177411195,162233.49282372533,1.0
78,2009-03-20,3.0861310616717406,119.0,154966.5158822989,5711620525549.762
79,2009-03-21,3.1207865967784003,323121.48214558564,51.0,6777549826937.176
80,2009-03-22,3.0818240993580535,338787.7312510761,156269.27371184417,1.0
81,2009-03-23,3.0848465194860495,130.0,155188.3735673993,5436532662055.229
82,2009-03-24,3.0765662197525474,308626.7076487759,105.0,6722661249685.965
83,2009-03-25,3.086825495342266,303828.0489600712,164453.61790333313,1.0
84,2009-03-26,3.089368756098193,118.0,142476.90185555367,4983976917861.974
85,2009-03-27,3.029241269821346,321254.1862332478,106.0,6084539710659.148
86,2009-03-28,3.121531909645835,308389.50563032506,160162.82936061703,1.0
87,2009-03-29,3.0660128893697367,116.0,156251.04280113205,5481227830501.277
88,2009-03-30,3.0673047261157196,306820.9927569617,120.0,6568680847717.396
89,2009-03-31,3.063836205469998,330055.2598289763,157112.4862295477,1.0
90,2009-04-01,3.038796737770867,114.0,154598.07975769293,5535598408446.922
91,2009-04-02,3.080012051714969,309674.60664420144,115.0,6938697870542.67
92,2009-04-03,3.0986375903035075,322808.218197955,159584.2158709329,1.0
93,2009-04-04,3.0405236640957045,113.0,153244.4114954774,5594947176105.119
94,2009-04-05,3.064211715805125,284778.51363459975,132.0,5914020794043.113
95,2009-04-06,3.0451153158565316,301068.9570064378,154398.00369799318,1.0
96,2009-04-07,3.1164935179055853,100.0,145893.11390023114,5087458965993.776
97,2009-04-08,3.059931892399606,318135.5189575035,105.0,6680337794333.611
98,2009-04-09,3.0864334738337806,328809.91750805476,157915.7544924199,1.0
99,2009-04-10,3.0277155272095353,108.0,157630.09719224405,5810170388936.524
100,2009-04-11,3.1119666118259133,340764.7501480501,121.0,6931324996802.791
101,2009-04-12,3.0692881465361626,287878.0418370698,156542.72731384652,1.0
102,2009-04-13,3.0863324871689786,117.0,153634.0513158888,5441111095520.729
103,2009-04-14,3.041380955148441,291355.6687005955,124.0,5566419247609.652
104,2009-04-15,3.080728431863137,299541.7865616356,161503.9026739084,1.0
105,2009-04-16,3.027421570464858,123.0,151653.797972915,5408429574563.504
106,2009-04-17,3.0617656159888433,312623.0310564101,112.0,6599425660695.182
107,2009-04-18,3.122646900600663,318184.1166148703,165384.87046887324,1.0
108,2009-04-19,3.1088318339398593,120.0,145060.48169024548,5044535000231.633
109,2009-04-20,3.0938758212919373,325809.703490432,121.0,6791045769389.607
110,2009-04-21,3.04397518794386,315142.2619128084,162293.7773159829,1.0
111,2009-04-22,3.063529676852487,121.0,155709.78037074613,5457836614053.719
112,2009-04-23,3.0577066821321766,292955.9442675804,75.0,5959247212070.431
113,2009-04-24,3.1264713745978976,331403.56742273655,166848.34098659383,1.0
114,2009-04-25,3.0753420030345247,118.0,156023.4643583466,5406301725188.029
115,2009-04-26,3.0744481733305733,348848.71115170396,114.0,5703425972899.754
116,2009-04-27,3.0343489639428456,308456.6353699664,155337.016278217,1.0
117,2009-04-28,3.0986368516211624,117.0,140640.9079462807,4948481403139.994
118,2009-04-29,3.0317726964810032,311648.8386274026,129.0,5865435525005.053
119,2009-04-30,3.0806838444523326,299830.8903857429,160927.23169613746,1.0
120,2009-05-01,3.027480414527396,121.0,144459.39440165457,4926225577824.989
121,2009-05-02,3.03492682645673,313740.61548260134,128.0,5931535383045.264
122,2009-05-03,3.048005671565095,295917.0192980764,150540.9387293329,1.0
123,2009-05-04,3.0728178184297414,129.0,142997.19613702575,4549264602595.603
124,2009-05-05,3.0539274418055733,315400.3706801117,136.0,5282076908251.598
125,2009-05-06,3.0809701041431685,352683.8255942963,166383.82650656722,1.0
126,2009-05-07,3.0371032217835827,122.0,151305.43209826603,5444630959586.902
127,2009-05-08,3.0345212727570208,306522.56799339247,108.0,5812947906670.66
128,2009-05-09,3.1038510532348518,327118.38411511894,161383.6720089747,1.0
129,2009-05-10,3.0606346192291234,85.0,158697.42768233246,5675707691679.238
130,2009-05-11,3.0512549530218482,289339.22566373926,121.0,5260863079690.899
131,2009-05-12,3.066204936041335,311775.1099218699,165380.9743187906,1.0
132,2009-05-13,3.0631496544719448,116.0,151449.93288640934,5517980902704.494
133,2009-05-14,3.0971670312236297,315758.69543818897,142.0,6172294587965.767
134,2009-05-15,3.0813852704852627,292610.5377987493,161057.37263235598,1.0
135,2009-05-16,3.0762745401010108,119.0,161475.11990781914,5765521681699.002
136,2009-05-17,3.080692600938387,308292.91275382985,127.0,6917418318194.684
137,2009-05-18,3.027739168488317,297317.3582553934,151675.03773345912,1.0
138,2009-05-19,3.049891033580053,86.0,150849.45375846425,5366225827266.12
139,2009-05-20,3.029853524165366,290957.62877559516,120.0,5291907018349.242
140,2009-05-21,3.0995576370692355,309333.2193820245,158360.10193255608,1.0
141,2009-05-22,3.0330817550695786,62.0,150002.6405018972,5262935320226.306
142,2009-05-23,3.0613747403050517,327239.2990707917,31.0,6228862877549.412
143,2009-05-24,3.1388981523145816,325252.8540620788,168209.47275192,1.0
144,2009-05-25,3.0564809574682847,109.0,157560.95891987716,5625186808126.795
145,2009-05-26,3.0952293591765114,298747.62459737563,125.0,6996160500278.408
146,2009-05-27,3.0609779882001673,299830.4610597675,146834.3785431947,1.0
147,2009-05-28,3.051021262197055,95.0,154927.6573849809,5772898752069.873
148,2009-05-29,3.115643724535451,338248.1453299052,107.0,5950227631218.594
149,2009-05-30,3.0423058539947845,302612.8141170253,156940.28626655616,1.0
150,2009-05-31,3.0754766244867007,97.0,150038.5635836183,5543848198519.797
